#翻译
dailySheetName	韩国日报
수정 독안	水晶毒鞍
수정 독전	水晶毒钿
의천투구	倚天战盔
의천전시	倚天战翅 
의천전패	倚天战佩
의천전안	倚天战鞍
의천전전	倚天战钿
의천자회	倚天刺盔
의천자시	倚天刺翅 
의천자패	倚天刺佩
의천자안	倚天刺鞍
의천자전	倚天刺钿
의천령회	倚天灵盔
의천령시	倚天灵翅 
의천령패	倚天灵佩
의천령안	倚天灵鞍
의천령전	倚天灵钿
의천독회	倚天毒盔
의천독시	倚天毒翅 
의천독패	倚天毒佩
의천독안	倚天毒鞍
의천독전	倚天毒钿
청홍 투구	青虹战盔
청홍 전시	青虹战翅 
청홍 전패	青虹战佩
청홍 전안	青虹战鞍
청홍 전전	青虹战钿
청홍 자회	青虹刺盔
청홍 자시	青虹刺翅 
청홍 자패	青虹刺佩
청홍 자안	青虹刺鞍
청홍 자전	青虹刺钿
청홍 령회	青虹灵盔
청홍 령시	青虹灵翅 
청홍 령패	青虹灵佩
청홍 령안	青虹灵鞍
청홍 령전	青虹灵钿
청홍 독회	青虹毒盔
청홍 독시	青虹毒翅 
청홍 독패	青虹毒佩
청홍 독안	青虹毒鞍
청홍 독전	青虹毒钿
적소 투구	赤霄战盔
적소 전시	赤霄战翅 
적소 전패	赤霄战佩
적소 전안	赤霄战鞍
적소 전전	赤霄战钿
적소 자회	赤霄刺盔
적소 자시	赤霄刺翅 
적소 자패	赤霄刺佩
적소 자안	赤霄刺鞍
적소 자전	赤霄刺钿
적소 령회	赤霄灵盔
적소 령시	赤霄灵翅 
적소 령패	赤霄灵佩
적소 령안	赤霄灵鞍
적소 령전	赤霄灵钿
적소 독회	赤霄毒盔
적소 독시	赤霄毒翅 
적소 독패	赤霄毒佩
적소 독안	赤霄毒鞍
적소 독전	赤霄毒钿
감정부	鉴定符
연기부	炼器符
명각부	铭刻符
파쇄별자리(1레벨)	破碎星辰(1级)
파쇄별자리(2레벨)	破碎星辰(2级)
파쇄별자리(3레벨)	破碎星辰(3级)
파쇄별자리(4레벨)	破碎星辰(4级)
파쇄별자리(5레벨)	破碎星辰(5级)
파쇄별자리(6레벨)	破碎星辰(6级)
파쇄별자리(7레벨)	破碎星辰(7级)
파쇄별자리(8레벨)	破碎星辰(8级)
파쇄별자리(9레벨)	破碎星辰(9级)
파쇄별자리(10레벨)	破碎星辰(10级)
파쇄별자리(11레벨)	破碎星辰(11级)
파쇄별자리(12레벨)	破碎星辰(12级)
파쇄별자리(13레벨)	破碎星辰(13级)
파쇄별자리(14레벨)	破碎星辰(14级)
파쇄별자리(15레벨)	破碎星辰(15级)
파쇄별자리(16레벨)	破碎星辰(16级)
파쇄별자리(17레벨)	破碎星辰(17级)
파쇄별자리(18레벨)	破碎星辰(18级)
파쇄별자리(19레벨)	破碎星辰(19级)
파쇄별자리(20레벨)	破碎星辰(20级)
연요석	炼妖石
초급 연요석	初级炼妖石
중급 연요석	中级炼妖石
고급 연요석	高级炼妖石
펫 세수주	宠物洗髓珠
천리전음부	千里传音符
만리신식부	万里神识符
별자리지정	圣辰之精
별자리사	星辰沙
일심일의 반지(남)	一心一意对戒(男)
일심일의 반지(여)	一心一意对戒(女)
삼생견권 반지(남)	三生缱绻对戒(男)
삼생견권 반지(여)	三生缱绻对戒(女)
비익쌍비 반지(남)	比翼双飞对戒(男)
비익쌍비 반지(여)	比翼双飞对戒(女)
삼생상수 반지(남)	三生相守对戒(男)
삼생상수 반지(여)	三生相守对戒(女)
산맹해세 반지(남)	山盟海誓对戒(男)
산맹해세 반지(여)	山盟海誓对戒(女)
전공석	传功石
빨간색 장미	红玫瑰
하얀색 장미	白玫瑰
남색요희	蓝色妖姬
젤리	软糖
막대사탕	棒棒糖
초콜릿	巧克力
보라색 진달래	紫花杜鹃
능소화	凌霄花
정향화	丁香花
자등화	紫藤花
자형화	紫荆花
지담초	地胆草
봉미초	凤尾草
자고초	茨菇草
봉령초	凤灵草
자금초	紫锦草
북현삼	北玄参
여송과	吕宋果
상용과	翔龙果
나한과	罗汉果
보살과	菩提果
명화령	冥火令
향화	香火
전지령	田地令
길드령	族令
노반령	鲁班令
고급 노반령	高级鲁班令
귀부신공령	鬼斧神工令
청란령우	青鸾翎羽
주작화우	朱雀火羽
전화 조각	战火残片
재자 인기	才子印记
무성 인기	武圣印记
무성인기 조각	武圣印记碎片
청룡 정혼	青龙精魂
주작 정혼	朱雀精魂
백호 정혼	白虎精魂
현무 정혼	玄武精魂
기린 정혼	麒麟精魂
초엽화종	草叶花种
순의 혜검	舜的慧剑
순의 혜도	舜的慧刀
우마왕의 계척	牛魔王的戒尺
우마왕의 등나무덩굴	牛魔王的藤条
여화의 방울	如花的铃铛
여화의 땡땡이	如花的拨浪鼓
맹파의 미혼탕	孟婆的迷魂汤
맹파의 망정수	孟婆的忘情水
혼원복마 조각	混元伏魔残片
혼원진사 조각	混元镇邪残片
혼천봉요 조각	混天封妖残片
혼천지존 조각	混天至尊残片
홍황고 잔권	洪荒古残卷
칠면조 요리 쿠폰	火鸡大餐礼券
선학 깃털	仙鹤羽毛
절품 펫 정백	绝品圣宠精魄
술표	酒票
쿠폰	帖券
녹나무	楠木
주철	铸铁
접착제	胶黏剂
공헌 카드	贡献卡
방주 통행증	方舟通行证
일등 선실 키	头等舱钥匙
선장실 키	船长室钥匙
신비한 키	神秘钥匙
비행 탈것 조각	飞行坐骑碎片
동지팥죽	腊八粥
상품 동지팥죽	上品腊八粥
공품 동지팥죽	贡品腊八粥
쇄혼부	锁魂符
고급 쇄혼부	高级锁魂符
제혼석	解魂石
폭죽	鞭炮
경축 불꽃	礼花
길상여의—길	吉祥如意—吉
길상여의—상	吉祥如意—祥
길상여의—여	吉祥如意—如
길상여의—의	吉祥如意—意
영춘납복—영	迎春纳福—迎
영춘납복—춘	迎春纳福—春
영춘납복—납	迎春纳福—纳
영춘납복—복	迎春纳福—福
단원미만—단	团圆美满—团
단원미만—원	团圆美满—圆
단원미만—미	团圆美满—美
단원미만—만	团圆美满—满
청사과	青苹果
수정 사과	水晶苹果
천사의 날개	天使之翼
두근두근 사랑	心动之恋
수정지연	水晶之恋
경성지련	倾城之恋
길상여의	吉祥如意
영춘납복	迎春纳福
단원미만	团圆美满
정의면면 반지	情意绵绵戒
정심사해 반지	情深似海戒
정동천지 반지	情动天地戒
사랑 소감	纯爱感言
사랑 고백	真爱宣言
사랑 선언	挚爱箴言
성장약물	生长药水
은표	银票
명수 탈혼령	冥帅夺魂铃
 명수탈혼령	冥帅夺魂令
최옥판관필	崔钰判官笔
최옥구혼필	崔钰勾魂笔
전기●감정부	传奇●鉴定符
전설●감정부	传说●鉴定符
신화●감정부	神话●鉴定符
영원●감정부	永恒●鉴定符
련등령기	连登令旗
매란죽국—매	梅兰竹菊—梅
매란죽국—란	梅兰竹菊—兰
매란죽국—죽	梅兰竹菊—竹
매란죽국—국	梅兰竹菊—菊
춘하추동—춘	春夏秋冬—春
춘하추동—하	春夏秋冬—夏
춘하추동—추	春夏秋冬—秋
춘하추동—동	春夏秋冬—冬
풍화설월—풍	风花雪月—风
풍화설월—화	风花雪月—花
풍화설월—설	风花雪月—雪
풍화설월—월	风花雪月—月
매란죽국	梅兰竹菊
춘하추동	春夏秋冬
풍화설월	风花雪月
선령권	仙灵券
백금 선령권	白金仙灵券
지존 선령권	至尊仙灵券
역천 장비권	逆天装备券
극품 장비권	极品装备券
전설 장비권	传说装备券
쇄영비급 조각1	碎影秘籍残卷一 
쇄영비급 조각2	碎影秘籍残卷二
쇄영비급 조각3	碎影秘籍残卷三
쇄영비급 조각4	碎影秘籍残卷四
구풍비급 조각1	飓风秘籍残卷一 
구풍비급 조각2 	飓风秘籍残卷二 
구풍비급 조각3	飓风秘籍残卷三
구풍비급 조각4	飓风秘籍残卷四 
구풍비급 조각5	飓风秘籍残卷五
적염비급 조각1	赤焰秘籍残卷一
적염비급 조각2	赤焰秘籍残卷二
적염비급 조각3	赤焰秘籍残卷三
적염비급 조각4	赤焰秘籍残卷四
분신비급 조각1	焚烬秘籍残卷一
분신비급 조각2	焚烬秘籍残卷二
분신비급 조각3	焚烬秘籍残卷三
분신비급 조각4	焚烬秘籍残卷四
분신비급 조각5	焚烬秘籍残卷五
건람비급 조각1	乾蓝秘籍残卷一
건람비급 조각2	乾蓝秘籍残卷二
건람비급 조각3	乾蓝秘籍残卷三
건람비급 조각4	乾蓝秘籍残卷四
건람비급 조각5	乾蓝秘籍残卷五
파랑비급 조각1	破浪秘籍残卷一
파랑비급 조각2	破浪秘籍残卷二
파랑비급 조각3	破浪秘籍残卷三
파랑비급 조각4	破浪秘籍残卷四
파랑비급 조각5	破浪秘籍残卷五
원독비급 조각1	怨毒秘籍残卷一
원독비급 조각2	怨毒秘籍残卷二
원독비급 조각3	怨毒秘籍残卷三
원독비급 조각4	怨毒秘籍残卷四
성뢰비급 조각1	星雷秘籍残卷一 
성뢰비급 조각2	星雷秘籍残卷二
성뢰비급 조각3	星雷秘籍残卷三
성뢰비급 조각4	星雷秘籍残卷四 
성뢰비급 조각5	星雷秘籍残卷五
연성부	炼星符
영수내단	灵兽内丹
설산 빙잠사	雪山冰蚕丝
호송령	押镖令
천정충	天晶虫
축복단	祝福丹
혼원일기단	混元一气丹
문무이성단	文武二圣丹
삼고조화단	三古造化丹
사해귀심단	四海归心丹
오뢰정법단	五雷正法丹
육정육갑단	六丁六甲丹
칠교령롱단	七巧玲珑丹
팔보여의단	八宝如意丹
구천현여단	九天玄女丹
십방무적단	十方无敌丹
백복구진단	百福具臻丹
일반 축하주	普通喜酒
백은 축하주	白银喜酒
황금 축하주	黄金喜酒
백금 축하주	白金喜酒
다이아몬드 축하주	钻石喜酒
일반 축하 사탕	普通喜糖
백은 축하 사탕	白银喜糖
황금 축하 사탕	黄金喜糖
백금 축하 사탕	白金喜糖
다이아몬드 축하 사탕	钻石喜糖
1품 원기 진단(초급)	一品元气真丹(初级)
2품 원기 진단(초급)	二品元气真丹(初级)
3품 원기 진단(초급)	三品元气真丹(初级)
4품 원기 진단(초급)	四品元气真丹(初级)
5품 원기 진단(초급)	五品元气真丹(初级)
6품 원기 진단(초급)	六品元气真丹(初级)
1품 원기 진단(중급)	一品元气真丹(中级)
2품 원기 진단(중급)	二品元气真丹(中级)
3품 원기 진단(중급)	三品元气真丹(中级)
4품 원기 진단(중급)	四品元气真丹(中级)
5품 원기 진단(중급)	五品元气真丹(中级)
6품 원기 진단(중급)	六品元气真丹(中级)
1품 원기 현단(초급)	一品元气玄丹(初级)
2품 원기 현단(초급)	二品元气玄丹(初级)
3품 원기 현단(초급)	三品元气玄丹(初级)
4품 원기 현단(초급)	四品元气玄丹(初级)
5품 원기 현단(초급)	五品元气玄丹(初级)
6품 원기 현단(초급)	六品元气玄丹(初级)
1품 원기 현단(중급)	一品元气玄丹(中级)
2품 원기 현단(중급)	二品元气玄丹(中级)
3품 원기 현단(중급)	三品元气玄丹(中级)
4품 원기 현단(중급)	四品元气玄丹(中级)
5품 원기 현단(중급)	五品元气玄丹(中级)
6품 원기 현단(중급)	六品元气玄丹(中级)
칠면조 고기	火鸡肉
성탄Q충 과자	圣诞Q宠饼干
익혈고	益血膏
이성고	迩成膏
회선고	回善膏
사어고	四御膏
오상고	梧常膏
육신고	陆神膏
계성고	启星膏
도패고	图霸膏
구묘고	久妙膏
천세고	天势膏
선철고	仙哲膏
현수단	玄兽丹
광랑 	狂狼
은월랑 	银月狼
지옥랑왕 	地狱狼王
영리한 여우 	灵狐
현화 여우 	玄火狐
청구 요괴 여우 	青丘妖狐
꽃 요괴 	花妖
복숭아 꽃 요괴 	桃花妖
절세 꽃 요괴 	绝世花妖
도마 	刀魔
횡도마 	横刀魔
패도마왕 	霸刀魔王
곰 	大熊
거대한 곰 	巨熊灵
흑풍곰 정예 	黑风熊精
갑사 	甲士
금갑사 	金甲士
금갑유신 	金甲游神
우마 	牛魔
우마왕 	牛魔王
경천우신 	擎天牛神
붉은 털 원숭이 	猕猴
붉은 털 원숭이 왕 	猕猴王
육이미후 	六耳猕猴
기린 	麒麟
옥기린 	玉麒麟
기린성조 	麒麟圣祖
흰색 호랑이 	白虎
서백 호랑이 	西白虎
백호전신 	白虎战神
청룡	青龙
동청룡 	东青龙
청용두신 	青龙斗神
현무	玄武
북현무 	北玄武
현무수신 	玄武水神
주작 	朱雀
남주작 	南朱雀
주작화신 	朱雀火神
독 전갈 	毒蝎
칠미 전갈 	七尾蝎
구음마 전갈 	九阴魔蝎
박쥐 	蝙蝠
혈박쥐 	血蝙蝠
청익복왕 	青翼蝠王
몽접 	梦蝶
혈나비 	血蝴蝶
난무 나비 요괴 	乱舞蝶妖
귀왕 	鬼王
여귀왕 	厉鬼王
나사귀왕 	罗刹鬼王
검혼 	剑魂
마검혼 	魔剑魂
사혈검혼 	嗜血剑魂
인삼인형 	人参娃娃
창삼인형 	苍参娃娃
천년삼요 	千年参妖
뇌신 	雷神
오뇌신 	五雷神
뇌정천존 	雷霆天尊
소용인 	小龙人
미니 소용인 	迷你小龙人
미사수요 	迷失水妖
조석수령 	潮汐水灵
조석령주 	潮汐领主
순산요병 	巡山妖兵
순해위장 	巡海卫长
순천도군 	巡天督军
미사토요 	迷失土妖
심연토령 	深渊土灵
심연령주 	深渊领主
태이장로 	太乙长老
태이진인 	太乙真人
태이산선 	太乙散仙
현명사요 	玄冥尸妖
둔지사왕 	遁地尸王
미천한발 	迷天旱魃
계락 독병 	诡计毒兵
무도병장 	雾岛兵长
구려병주 	九黎兵主
피설 흰색 여우 	披雪白狐
헌원 영리한 여우 	轩辕灵狐
구미설 여우 	九尾雪狐
적대랑인 	赤歹狼人
열목 늑대 요괴 	烈目狼妖
서혼혈 늑대 	噬魂血狼
쇄열석괴 	碎裂石怪
운열암마 	陨烈岩魔
지화마신 	地火魔神
염풍진인 	炎风真人
적면선마 	赤面仙魔
황용비선 	黄龙飞仙
백년 나무  	百年老树
천년수요 	千年树妖
사라수황 	裟椤树皇
흑발 여귀신 	黑发女鬼
귀역마녀 	鬼蜮魔女
마역여황 	魔域女皇
가나 어린 용 	伽罗幼龙
적염마용 	赤炎魔龙
열염마황  	烈阎魔皇
구혼 흑무상 	勾魂黑无常
색명 흑무상 	索命黑无常
내하 흑무상 	奈何黑无常
구혼 백무상 	勾魂白无常
색명 백무상 	索命白无常
내하 백무상 	奈何白无常
진●옥기린 	真●玉麒麟
진●기린성조 	真●麒麟圣祖
진●서백호 	真●西白虎
진●백호전신 	真●白虎战神
진●동청룡 	真●东青龙
진●청용두신 	真●青龙斗神
진●북현무 	真●北玄武
진●현무수신 	真●玄武水神
진●남주작 	真●南朱雀
진●주작화신 	真●朱雀火神
현동금정 	玄瞳金晶
완황여황 	蛮荒女皇
길상연수	祥瑞年兽
정성각서	旌星角瑞
마역랑주	魔域狼蛛
절세 꽃 요괴(FGT)	绝世花妖(FGT)
금갑유신(FGT)	金甲游神(FGT)
천년삼요(FGT)	千年参妖(FGT)
조석령주(FGT)	潮汐领主(FGT)
뇌정천존(FGT)	雷霆天尊(FGT)
사혈검혼(FGT)	嗜血剑魂(FGT)
광랑 알	狂狼蛋
은월랑 알	银月狼蛋
지옥랑왕 알	地狱狼王蛋
영리한 여우 알	灵狐蛋
현화 여우 알	玄火狐蛋
청구 요괴 여우 알	青丘妖狐蛋
꽃 요괴 알	花妖蛋
복숭아 꽃 요괴 알	桃花妖蛋
절세 꽃 요괴 알	绝世花妖蛋
도마 알	刀魔蛋
횡도마 알	横刀魔蛋
패도마왕 알	霸刀魔王蛋
곰 알	大熊蛋
거대한 곰 알	巨熊灵蛋
흑풍곰정 알	黑风熊精蛋
갑사 알	甲士蛋
금갑사 알	金甲士蛋
금갑유신 알	金甲游神蛋
우마 알	牛魔蛋
우마왕 알	牛魔王蛋
경천우신 알	擎天牛神蛋
붉은 털 원숭이 알	猕猴蛋
붉은 털 원숭이 왕 알	猕猴王蛋
육이미후 알	六耳猕猴蛋
기린 알	麒麟蛋
옥기린 알	玉麒麟蛋
기린성조 알	麒麟圣祖蛋
흰색 호랑이 알	白虎蛋
서백 호랑이 알	西白虎蛋
백호전신 알	白虎战神蛋
청룡알	青龙蛋
동청룡 알	东青龙蛋
청용두신 알	青龙斗神蛋
현무알	玄武蛋
북현무 알	北玄武蛋
현무수신 알	玄武水神蛋
주작 알	朱雀蛋
남주작 알	南朱雀蛋
주작화신 알	朱雀火神蛋
독 전갈 알	毒蝎蛋
칠미 전갈 알	七尾蝎蛋
구음마 전갈 알	九阴魔蝎蛋
박쥐 알	蝙蝠蛋
혈박쥐 알	血蝙蝠蛋
청익복왕 알	青翼蝠王蛋
몽접 알	梦蝶蛋
혈나비 알	血蝴蝶蛋
난무 나비 요괴 알	乱舞蝶妖蛋
귀왕 알	鬼王蛋
여귀왕 알	厉鬼王蛋
나찰귀왕 알	罗刹鬼王蛋
검혼 알	剑魂蛋
마검혼 알	魔剑魂蛋
사혈검혼 알	嗜血剑魂蛋
인삼인형 알	人参娃娃蛋
창삼인형 알	苍参娃娃蛋
천년삼요 알	千年参妖蛋
뇌신 알	雷神蛋
오뇌신 알	五雷神蛋
뇌정천존 알	雷霆天尊蛋
소용인 알	小龙人蛋
미니 소용인 알	迷你小龙人蛋
미사수요 알	迷失水妖蛋
조석수령 알	潮汐水灵蛋
조석령주 알	潮汐领主蛋
순산요병 알	巡山妖兵蛋
순해위장 알	巡海卫长蛋
순천도군 알	巡天督军蛋
미사토요 알	迷失土妖蛋
심연토령 알	深渊土灵蛋
심연령주 알	深渊领主蛋
태이장로 알	太乙长老蛋
태이진인 알	太乙真人蛋
태이산선 알	太乙散仙蛋
현명사요 알	玄冥尸妖蛋
둔지사왕 알	遁地尸王蛋
미천한발 알	迷天旱魃蛋
계락 독병 알	诡计毒兵蛋
무도병장 알	雾岛兵长蛋
구려병주 알	九黎兵主蛋
피설 흰색 여우 알	披雪白狐蛋
헌원 영리한 여우 알	轩辕灵狐蛋
구미설 여우 알	九尾雪狐蛋
적대낭인 알	赤歹狼人蛋
열목 늑대 요괴 알	烈目狼妖蛋
서혼혈 늑대 알	噬魂血狼蛋
쇄열석괴 알	碎裂石怪蛋
운열암마 알	陨烈岩魔蛋
지화마신 알	地火魔神蛋
염풍진인 알	炎风真人蛋
적면선마 알	赤面仙魔蛋
황용비선 알	黄龙飞仙蛋
백년 나무  알	百年老树蛋
천년수요 알	千年树妖蛋
사라수황 알	裟椤树皇蛋
흑발 여귀신 알	黑发女鬼蛋
귀역마녀 알	鬼蜮魔女蛋
마역여황 알	魔域女皇蛋
가나 어린 용 알	伽罗幼龙蛋
적염마용 알	赤炎魔龙蛋
열염마황 알 	烈阎魔皇蛋
구혼 흑무상 알	勾魂黑无常蛋
색명 흑무상 알	索命黑无常蛋
내하 흑무상 알	奈何黑无常蛋
구혼 백무상 알	勾魂白无常蛋
색명 백무상 알	索命白无常蛋
내하 백무상 알	奈何白无常蛋
진●옥기린 알	真●玉麒麟蛋
진●기린성조 알	真●麒麟圣祖蛋
진●서백호 알	真●西白虎蛋
진●백호전신 알	真●白虎战神蛋
진●동청룡 알	真●东青龙蛋
진●청용두신 알	真●青龙斗神蛋
진●북현무 알	真●北玄武蛋
진●현무수신 알	真●玄武水神蛋
진●남주작 알	真●南朱雀蛋
진●주작화신 알	真●朱雀火神蛋
현동금정 알	玄瞳金晶蛋
완황여황 알	蛮荒女皇蛋
길상연수 알	祥瑞年兽蛋
정성각서 알	旌星角瑞蛋
마역랑주 알	魔域狼蛛蛋
절세 꽃 요괴 알(FGT)	绝世花妖蛋(FGT)
금갑유신 알(FGT)	金甲游神蛋(FGT)
천년삼요 알(FGT)	千年参妖蛋(FGT)
조석령주 알(FGT)	潮汐领主蛋(FGT)
뇌정천존 알(FGT)	雷霆天尊蛋(FGT)
사혈검혼 알(FGT)	嗜血剑魂蛋(FGT)
만수단	万寿丹
선악단	仙乐丹
묘각환	妙觉丸
우성환	悟成丸
통혜환	通慧丸
장생환	长生丸
취령환	聚灵丸
어풍환	御风丸
양생환	养生丸
창오환	苍梧丸
속명환	续命丸
현천환	玄天丸
인황환	人皇丸
건곤로	乾坤露
본초로	本初露
삼화로	三花露
상춘로	常春露
요성로	曜星露
종횡로	纵横露
신여로	神女露
운광로	云光露
원성로	元圣露
십신로	十神露
간우로	干佑露
고기 소금 구이	盐烤青花鱼
해물회밥	海鲜烩饭
바닷가재 찜	焗烤龙虾
경도어배	惊涛鱼排
향농 물고기 조림	香浓炖鱼
오징어 요리	秘制鲅鱼
홍소포시연	红烧鲍翅燕
포즙닭퇴고	鲍汁鸡腿菇
조개 구이	碳烧元贝
간소계어	干烧桂鱼
해삼아장보	海参鹅掌煲
고기 소금 구이(고급)	盐烤青花鱼(高级)
해물회밥(고급)	海鲜烩饭(高级)
바닷가재 찜(고급)	焗烤龙虾(高级)
경도어배(고급)	惊涛鱼排(高级)
향농 물고기 조림(고급)	香浓炖鱼(高级)
오징어 요리(고급)	秘制鲅鱼(高级)
홍소포시연(고급)	红烧鲍翅燕(高级)
포즙닭퇴고(고급)	鲍汁鸡腿菇(高级)
조개 구이(고급)	碳烧元贝(高级)
간소계어(고급)	干烧桂鱼(高级)
해삼아장보(고급)	海参鹅掌煲(高级)
VIP1체험카드(1일)	VIP1体验卡(1天)
VIP2체험카드(1일)	VIP2体验卡(1天)
VIP3체험카드(1일)	VIP3体验卡(1天)
VIP4체험카드(1일)	VIP4体验卡(1天)
VIP5체험카드(1일)	VIP5体验卡(1天)
VIP6체험카드(1일)	VIP6体验卡(1天)
VIP7체험카드(1일)	VIP7体验卡(1天)
VIP1체험카드(10분)	VIP1体验卡(10分)
VIP2체험카드(10분)	VIP2体验卡(10分)
VIP3체험카드(10분)	VIP3体验卡(10分)
VIP4체험카드(10분)	VIP4体验卡(10分)
VIP5체험카드(10분)	VIP5体验卡(10分)
VIP6체험카드(10분)	VIP6体验卡(10分)
VIP7체험카드(10분)	VIP7体验卡(10分)
신행단	神行丹
일요 어린 호랑이	日曜幼虎
비마 요괴 호랑이	蜚魔妖虎
소천마 호랑이	啸天魔虎
적염호괴	赤炎虎魁
조광야우	躁狂野牛
악공치분	噩龏蚩奔
요방우마	妖尨牛魔
오색신우	五色神牛
질풍 어린 늑대	疾风幼狼
적목마랑	赤木魔狼
소월창랑	啸月苍狼
은랑지존	银狼至尊
유독 어린 전갈	幽毒幼蝎
무고마 전갈	巫蛊魔蝎
적묵룡갈	赤墨龙蝎
용망갈황	龙蟒蝎皇
사랑의 현무	爱的炫舞
낭만금생	浪漫今生
벽허청란	碧虚青鸾
팔괘선포	八卦仙蒲
몽동선학	梦瞳仙鹤
건곤호로	乾坤葫芦
금급용황	金极龙皇
분염화선	焚焰火扇
심연마장	深渊魔章
벽허청란(3일)	碧虚青鸾(3天)
벽허청란(14일)	碧虚青鸾(14天)
벽허청란(30일)	碧虚青鸾(30天)
벽허청란(1시간)	碧虚青鸾(1小时)
벽허청란(7일)	碧虚青鸾(7天)
분염화선(7일)	焚焰火扇(7天)
건곤호로(7일)	乾坤葫芦(7天)
벽허청란(15일)	碧虚青鸾(15天)
분염화선(15일)	焚焰火扇(15天)
건곤호로(15일)	乾坤葫芦(15天)
벽허청란(30일)	碧虚青鸾(30天)
분염화선(30일)	焚焰火扇(30天)
건곤호로(30일)	乾坤葫芦(30天)
벽허청란(1일)	碧虚青鸾(1天)
분염화선(1일)	焚焰火扇(1天)
건곤호로(1일)	乾坤葫芦(1天)
분염화선(3일)	焚焰火扇(3天)
건곤호로(3일)	乾坤葫芦(3天)
벽허청란(5일)	碧虚青鸾(5天)
분염화선(5일)	焚焰火扇(5天)
건곤호로(5일)	乾坤葫芦(5天)
홍조천룡(1일)	红朝天龙(1天)
홍조천룡(3일)	红朝天龙(3天)
홍조천룡(5일)	红朝天龙(5天)
홍조천룡	红朝天龙
벽허청란(35일)	碧虚青鸾(35天)
분염화선(35일)	焚焰火扇(35天)
건곤호로(35일)	乾坤葫芦(35天)
벽허청란(45일)	碧虚青鸾(45天)
분염화선(45일)	焚焰火扇(45天)
건곤호로(45일)	乾坤葫芦(45天)
벽허청란(60일)	碧虚青鸾(60天)
분염화선(60일)	焚焰火扇(60天)
건곤호로(60일)	乾坤葫芦(60天)
팔괘선포(3일)	八卦仙蒲(3天)
금급용황(3일)	金极龙皇(3天)
촉국화	蜀葵花
풍령초	风铃草
산관란	山菅兰
신기백보 신선주머니	神奇百宝仙囊
부화금라 신선주머니	浮华锦罗仙囊
몽환표묘 신선주머니	梦幻飘渺仙囊
공령서혼 신선주머니	空灵噬魂仙囊
구양건곤 신선주머니	九阳乾坤仙囊
초견산	初见散
중귀산	重归散
범령산	泛灵散
복녕산	复宁散
공명산	空明散
음괴산	阴魁散
수왕산	兽王散
무용산	毋庸散
통은산	通隐散
대성산	大成散
비승산	飞升散
연근단	易筋丹
광인 비급(두라)	狂印秘籍(斗罗)
쌍무 비급(두라)	双舞秘籍(斗罗)
선풍 비급(두라)	旋风秘籍(斗罗)
혈인 비급(두라)	血印秘籍(斗罗)
진혼 비급(두라)	震魂秘籍(斗罗)
살육 비급(두라)	杀戮秘籍(斗罗)
포도 비급(두라)	普度秘籍(斗罗)
사진 비급(두라)	杀阵秘籍(斗罗)
경뢰 비급(두라)	惊雷秘籍(斗罗)
탈명 비급(두라)	夺命秘籍(斗罗)
령인 비급(영존)	灵印秘籍(灵尊)
화월 비급(영존)	火月秘籍(灵尊)
유성 비급(영존)	流星秘籍(灵尊)
염인 비급(영존)	焱印秘籍(灵尊)
상폭 비급(영존)	霜暴秘籍(灵尊)
추천 비급(영존)	坠天秘籍(灵尊)
빙릉 비급(영존)	冰陵秘籍(灵尊)
요천 비급(영존)	耀天秘籍(灵尊)
천주 비급(영존)	天诛秘籍(灵尊)
설장 비급(영존)	雪葬秘籍(灵尊)
웅인 비급(귀살)	熊印秘籍(鬼煞)
참수 비급(귀살)	斩首秘籍(鬼煞)
륜자 비급(귀살)	轮刺秘籍(鬼煞)
랑인 비급(귀살)	狼印秘籍(鬼煞)
혈독 비급(귀살)	血毒秘籍(鬼煞)
귀막 비급(귀살)	鬼幕秘籍(鬼煞)
둔형 비급(귀살)	遁形秘籍(鬼煞)
귀자 비급(귀살)	鬼刺秘籍(鬼煞)
단후 비급(귀살)	断喉秘籍(鬼煞)
탈혼 비급(귀살)	夺魂秘籍(鬼煞)
골인 비급(무황)	骨印秘籍(巫皇)
강두 비급(무황)	降头秘籍(巫皇)
산령 비급(무황)	散灵秘籍(巫皇)
요인 비급(무황)	妖印秘籍(巫皇)
혼격 비급(무황)	魂击秘籍(巫皇)
혈기 비급(무황)	血祭秘籍(巫皇)
반서 비급(무황)	反噬秘籍(巫皇)
만고 비급(무황)	万蛊秘籍(巫皇)
서령 비급(무황)	噬灵秘籍(巫皇)
경혼 비급(무황)	惊魂秘籍(巫皇)
만독도천 비급(무황)	万毒滔天秘籍(巫皇)
오뢰굉정 비급(귀살)	五雷轰顶秘籍(鬼煞)
상냉월한 비급(영존)	霜冷月寒秘籍(灵尊)
지화료원 비급(두라)	地火燎原秘籍(斗罗)
쇄영비급(귀살)	碎影秘籍(鬼煞)
구풍비급(귀살) 	飓风秘籍(鬼煞) 
적염비급(두라)	赤焰秘籍(斗罗)
분신비급(두라)	焚烬秘籍(斗罗)
건람비급(영존)	乾蓝秘籍(灵尊)
파랑비급(영존)	破浪秘籍(灵尊)
원독비급(무황)	怨毒秘籍(巫皇)
성뢰비급(무황)	星雷秘籍(巫皇)
정심주	静心咒
천금방	千金方
심여지수환	心如止水丸
월급	粮饷
비밀 문서	绝密文件
위조 머리	假人头
비밀 편지	密信
비단 수건	丝巾
전체 도덕경	全本道德经
철 여의	铁如意
향낭	香囊
망혼화	忘魂花
